Dataset,Method,AUC,MIDAS,Size,Time
ISCX,NoDelete,0.8388,MIDAS,32,7.965809584
ISCX,NoDelete,0.8388,MIDAS,64,7.027833462
ISCX,NoDelete,0.8388,MIDAS,128,7.189561129
ISCX,NoDelete,0.8688,MIDAS,256,7.029557705
ISCX,NoDelete,0.8388,MIDAS,512,7.334493637
ISCX,NoDelete,0.8388,MIDAS,1024,6.642206192
ISCX,NoDelete,0.8388,MIDAS,2048,6.670290947
ISCX,NoDelete,0.8388,MIDAS,4096,6.670251369
ISCX,RandomDelete,0.6462,MIDAS,32,36.49975896
ISCX,RandomDelete,0.8241,MIDAS,64,59.96796942
ISCX,RandomDelete,0.795,MIDAS,128,79.10916018
ISCX,RandomDelete,0.8712,MIDAS,256,119.5590963
ISCX,RandomDelete,0.836,MIDAS,512,228.5062494
ISCX,RandomDelete,0.8528,MIDAS,1024,324.8188436
ISCX,RandomDelete,0.8327,MIDAS,2048,481.8129861
ISCX,RandomDelete,0.8337,MIDAS,2048,506.140696
ISCX,RandomDelete,0.8354,MIDAS,4096,799.0906343
ISCX,NoDelete,0.9262,MIDAS-R,32,17.78929806
ISCX,NoDelete,0.9172,MIDAS-R,64,14.29533362
ISCX,NoDelete,0.9172,MIDAS-R,128,19.77924442
ISCX,NoDelete,0.9172,MIDAS-R,256,15.43851328
ISCX,NoDelete,0.9172,MIDAS-R,512,17.88593626
ISCX,NoDelete,0.9172,MIDAS-R,1024,18.75950193
ISCX,NoDelete,0.9172,MIDAS-R,2048,14.20876503
ISCX,NoDelete,0.9172,MIDAS-R,4096,12.60455871
ISCX,RandomDelete,0.8391,MIDAS-R,32,39.55971193
ISCX,RandomDelete,0.8883,MIDAS-R,64,59.74902105
ISCX,RandomDelete,0.8775,MIDAS-R,128,74.80834651
ISCX,RandomDelete,0.9514,MIDAS-R,256,118.5366213
ISCX,RandomDelete,0.8904,MIDAS-R,256,136.3776324
ISCX,RandomDelete,0.9252,MIDAS-R,512,173.1094728
ISCX,RandomDelete,0.9344,MIDAS-R,2048,647.0250015
DARPA,NoDelete,0.807,MIDAS,32,46.92597437
DARPA,NoDelete,0.807,MIDAS,64,45.58463192
DARPA,NoDelete,0.807,MIDAS,128,45.75390673
DARPA,NoDelete,0.807,MIDAS,256,45.79008579
DARPA,NoDelete,0.807,MIDAS,512,45.48805714
DARPA,NoDelete,0.807,MIDAS,1024,46.51935554
DARPA,NoDelete,0.807,MIDAS,2048,45.77619624
DARPA,NoDelete,0.851,MIDAS,4096,47.27889633
DARPA,RandomDelete,0.7793,MIDAS,32,197.6631234
DARPA,RandomDelete,0.8048,MIDAS,64,296.9618106
DARPA,RandomDelete,0.8259,MIDAS,128,437.7019489
DARPA,RandomDelete,0.8366,MIDAS,256,727.9066403
DARPA,RandomDelete,0.8399,MIDAS,512,1095.319278
DARPA,RandomDelete,0.8376,MIDAS,1024,1268.645746
DARPA,RandomDelete,0.8468,MIDAS,2048,1762.806638
DARPA,RandomDelete,0.8387,MIDAS,4096,3646.567468
DARPA,NoDelete,0.9093,MIDAS-R,32,33.09992242
DARPA,NoDelete,0.9093,MIDAS-R,64,32.25998998
DARPA,NoDelete,0.9093,MIDAS-R,128,29.61478877
DARPA,NoDelete,0.9166,MIDAS-R,256,32.16528893
DARPA,NoDelete,0.9093,MIDAS-R,512,30.57976341
DARPA,NoDelete,0.9093,MIDAS-R,1024,29.4726162
DARPA,NoDelete,0.9093,MIDAS-R,2048,31.85955954
DARPA,NoDelete,0.9093,MIDAS-R,4096,37.81985044
DARPA,RandomDelete,0.7776,MIDAS-R,32,185.8670979
DARPA,RandomDelete,0.8017,MIDAS-R,64,222.569489
DARPA,RandomDelete,0.8539,MIDAS-R,128,378.6910286
DARPA,RandomDelete,0.8474,MIDAS-R,256,520.4609499
DARPA,RandomDelete,0.8564,MIDAS-R,512,847.3638086
DARPA,RandomDelete,0.8628,MIDAS-R,1024,1062.33638
DARPA,RandomDelete,0.8772,MIDAS-R,2048,1720.839257
NB15,NoDelete,0.8632,MIDAS,32,14.42989278
NB15,NoDelete,0.8702,MIDAS,64,13.76234126
NB15,NoDelete,0.8702,MIDAS,128,15.12317038
NB15,NoDelete,0.8702,MIDAS,256,15.52551413
NB15,NoDelete,0.8702,MIDAS,512,18.36535406
NB15,NoDelete,0.8632,MIDAS,1024,15.45779467
NB15,NoDelete,0.8621,MIDAS,2048,15.60560679
NB15,NoDelete,0.8702,MIDAS,4096,14.02790427
NB15,RandomDelete,0.1143,MIDAS,32,29.74602509
NB15,RandomDelete,0.3152,MIDAS,64,29.41877699
NB15,RandomDelete,0.7113,MIDAS,128,30.07459736
NB15,RandomDelete,0.8702,MIDAS,256,32.88742232
NB15,RandomDelete,0.8632,MIDAS,512,32.53796363
NB15,RandomDelete,0.8702,MIDAS,1024,32.92302251
NB15,RandomDelete,0.8702,MIDAS,2048,29.59062243
NB15,RandomDelete,0.8632,MIDAS,4096,29.4311564
NB15,NoDelete,0.8699,MIDAS-R,32,27.3198173
NB15,NoDelete,0.876,MIDAS-R,64,32.3534596
NB15,NoDelete,0.876,MIDAS-R,128,26.85343599
NB15,NoDelete,0.8699,MIDAS-R,256,29.34442353
NB15,NoDelete,0.876,MIDAS-R,512,31.66337419
NB15,NoDelete,0.876,MIDAS-R,1024,29.16495132
NB15,NoDelete,0.876,MIDAS-R,2048,29.93951058
NB15,NoDelete,0.876,MIDAS-R,4096,24.83411241
NB15,RandomDelete,0.2093,MIDAS-R,32,39.31745768
NB15,RandomDelete,0.1974,MIDAS-R,64,38.27162433
NB15,RandomDelete,0.8425,MIDAS-R,128,33.69670033
NB15,RandomDelete,0.876,MIDAS-R,256,35.66347122
NB15,RandomDelete,0.876,MIDAS-R,512,36.32093692
CTU13,NoDelete,0.6314,MIDAS,32,16.27384639
CTU13,NoDelete,0.6314,MIDAS,64,16.59783626
CTU13,NoDelete,0.6314,MIDAS,128,18.06427193
CTU13,NoDelete,0.6314,MIDAS,256,18.75080061
CTU13,NoDelete,0.6314,MIDAS,512,17.7457664
CTU13,NoDelete,0.6457,MIDAS,1024,16.04307008
CTU13,NoDelete,0.6314,MIDAS,2048,25.93415308
CTU13,NoDelete,0.6457,MIDAS,4096,16.01790071
CTU13,RandomDelete,0.3556,MIDAS,32,118.0121462
CTU13,RandomDelete,0.4452,MIDAS,64,190.3184123
CTU13,RandomDelete,0.5907,MIDAS,128,379.1978812
CTU13,RandomDelete,0.5632,MIDAS,256,566.5469284
CTU13,RandomDelete,0.8088,MIDAS,512,1050.961849
CTU13,NoDelete,0.7955,MIDAS-R,32,30.80995941
CTU13,NoDelete,0.8132,MIDAS-R,64,21.45072412
CTU13,NoDelete,0.7955,MIDAS-R,128,20.98207951
CTU13,NoDelete,0.7955,MIDAS-R,256,21.68114042
CTU13,NoDelete,0.8132,MIDAS-R,512,20.1003921
CTU13,NoDelete,0.8277,MIDAS-R,1024,25.0753808
CTU13,NoDelete,0.8132,MIDAS-R,2048,22.61430073
CTU13,NoDelete,0.8132,MIDAS-R,2048,21.3549087
CTU13,NoDelete,0.7955,MIDAS-R,4096,23.77964592
CTU13,NoDelete,0.7955,MIDAS-R,4096,16.99277687
Gowalla,NoDelete,0.537,MIDAS,32,15.60011292
Gowalla,NoDelete,0.5437,MIDAS,64,15.50973415
Gowalla,NoDelete,0.5437,MIDAS,128,15.92951584
Gowalla,NoDelete,0.5437,MIDAS,256,15.55965734
Gowalla,NoDelete,0.537,MIDAS,512,15.83965325
Gowalla,NoDelete,0.5437,MIDAS,1024,14.59486842
Gowalla,NoDelete,0.537,MIDAS,2048,15.82896924
Gowalla,NoDelete,0.5437,MIDAS,4096,12.21016693
Gowalla,RandomDelete,0.4737,MIDAS,32,65.92485428
Gowalla,RandomDelete,0.4525,MIDAS,64,112.2279243
Gowalla,RandomDelete,0.4183,MIDAS,128,142.9594283
Gowalla,RandomDelete,0.3555,MIDAS,256,199.7998323
Gowalla,RandomDelete,0.3067,MIDAS,512,253.8970573
Gowalla,RandomDelete,0.2642,MIDAS,1024,289.8727231
Gowalla,RandomDelete,0.2694,MIDAS,2048,355.0499001
Gowalla,RandomDelete,0.3422,MIDAS,4096,333.984163
Gowalla,NoDelete,0.5536,MIDAS-R,32,13.71978831
Gowalla,NoDelete,0.5536,MIDAS-R,64,12.83005166
Gowalla,NoDelete,0.5255,MIDAS-R,128,12.72494102
Gowalla,NoDelete,0.5536,MIDAS-R,256,12.45505929
Gowalla,NoDelete,0.5255,MIDAS-R,512,12.52946806
Gowalla,NoDelete,0.5536,MIDAS-R,1024,13.06205153
Gowalla,NoDelete,0.5536,MIDAS-R,2048,12.7395587
Gowalla,NoDelete,0.5536,MIDAS-R,4096,13.05004025
Gowalla,RandomDelete,0.4786,MIDAS-R,32,64.53498197
Gowalla,RandomDelete,0.4566,MIDAS-R,64,88.23379779
Gowalla,RandomDelete,0.4083,MIDAS-R,128,137.954766
Gowalla,RandomDelete,0.3618,MIDAS-R,256,164.4075077
Gowalla,RandomDelete,0.2824,MIDAS-R,512,268.6052513
Gowalla,RandomDelete,0.2526,MIDAS-R,1024,299.0800004
Gowalla,RandomDelete,0.2575,MIDAS-R,2048,391.8296087
Gowalla,RandomDelete,0.2732,MIDAS-R,4096,424.6898873
NYC_Taxi,NoDelete,0.3326,MIDAS,32,42.96576309
NYC_Taxi,NoDelete,0.2997,MIDAS,64,34.75484204
NYC_Taxi,NoDelete,0.2997,MIDAS,128,72.20863748
NYC_Taxi,NoDelete,0.3326,MIDAS,256,72.83502412
NYC_Taxi,NoDelete,0.2997,MIDAS,512,45.98976183
NYC_Taxi,NoDelete,0.2997,MIDAS,1024,36.704566
NYC_Taxi,NoDelete,0.2997,MIDAS,2048,35.01949477
NYC_Taxi,NoDelete,0.2997,MIDAS,4096,33.37489009
NYC_Taxi,RandomDelete,0.2424,MIDAS,32,89.23643613
NYC_Taxi,RandomDelete,0.1573,MIDAS,64,100.372952
NYC_Taxi,RandomDelete,0.0908,MIDAS,128,108.9086397
NYC_Taxi,RandomDelete,0.0714,MIDAS,256,105.2777042
NYC_Taxi,RandomDelete,0.0588,MIDAS,512,246.8816447
NYC_Taxi,RandomDelete,0.063,MIDAS,1024,202.3193126
NYC_Taxi,RandomDelete,0.0768,MIDAS,2048,234.4903731
NYC_Taxi,RandomDelete,0.1127,MIDAS,4096,317.8195219
NYC_Taxi,NoDelete,0.1215,MIDAS-R,32,40.56525612
NYC_Taxi,NoDelete,0.1215,MIDAS-R,64,43.79093504
NYC_Taxi,NoDelete,0.1215,MIDAS-R,128,47.28966665
NYC_Taxi,NoDelete,0.1215,MIDAS-R,256,42.44707823
NYC_Taxi,NoDelete,0.1215,MIDAS-R,512,45.72775793
NYC_Taxi,NoDelete,0.15,MIDAS-R,1024,37.83971596
NYC_Taxi,NoDelete,0.205,MIDAS-R,2048,36.2396853
NYC_Taxi,NoDelete,0.1215,MIDAS-R,4096,36.62020516
NYC_Taxi,RandomDelete,0.2554,MIDAS-R,32,102.3653171
NYC_Taxi,RandomDelete,0.1516,MIDAS-R,64,93.02660799
NYC_Taxi,RandomDelete,0.0816,MIDAS-R,128,140.0623143
NYC_Taxi,RandomDelete,0.0637,MIDAS-R,256,139.6058795
NYC_Taxi,RandomDelete,0.0416,MIDAS-R,512,154.0514374
